spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
0.0,0.0,4.0,2.0,384.0,7.0,39.0,0.0,1.0,392.0,120.0,110.0,5.0,1744352791.0,0.84,0.86,1.0,1589234755.0,2141717134.0,27.0,0.0,947.0,1.0,27.0,2.0,285.0,3.0,2635.131
1.0,991.0,3.0,1.0,384.0,8.0,42.0,1.0,0.0,237.0,121.0,34.0,9.0,1518574515.0,0.78,0.54,1.0,1807431716.0,1910549108.0,54.0,1.0,823.0,1.0,26.0,1.0,174.0,4.0,2721.896
0.0,0.0,3.0,1.0,384.0,7.0,34.0,0.0,0.0,210.0,33.0,113.0,9.0,2089222618.0,0.68,0.59,1.0,1260469438.0,1371185101.0,58.0,0.0,881.0,0.0,20.0,4.0,309.0,4.0,2742.636
0.0,0.0,3.0,1.0,384.0,6.0,52.0,0.0,0.0,352.0,68.0,51.0,6.0,1373336546.0,0.89,0.57,1.0,1821068614.0,1831529641.0,38.0,1.0,911.0,1.0,40.0,4.0,256.0,4.0,2778.246
1.0,806.0,6.0,3.0,530.0,8.0,44.0,0.0,1.0,240.0,114.0,36.0,8.0,1861779080.0,0.82,0.88,1.0,1471276465.0,1687280941.0,70.0,1.0,651.0,1.0,24.0,5.0,201.0,3.0,2560.402
0.0,0.0,7.0,3.0,678.0,8.0,53.0,0.0,1.0,496.0,117.0,38.0,10.0,1269284983.0,0.76,0.6,0.0,1892684996.0,2129075125.0,39.0,1.0,854.0,1.0,43.0,3.0,162.0,4.0,2570.064
1.0,712.0,5.0,2.0,405.0,5.0,59.0,1.0,1.0,496.0,89.0,82.0,7.0,1364609939.0,0.82,0.5,1.0,1273850132.0,1989475480.0,53.0,1.0,937.0,0.0,20.0,2.0,165.0,1.0,2682.111
0.0,0.0,3.0,1.0,384.0,5.0,46.0,0.0,0.0,217.0,84.0,65.0,9.0,2060693483.0,0.59,0.59,1.0,1416622952.0,1530308071.0,36.0,0.0,767.0,1.0,37.0,2.0,197.0,4.0,2820.138
0.0,0.0,4.0,2.0,384.0,5.0,43.0,1.0,0.0,431.0,92.0,95.0,8.0,1084708997.0,0.73,0.8,1.0,1741975452.0,1347968052.0,43.0,1.0,613.0,0.0,17.0,1.0,255.0,2.0,2647.781
0.0,0.0,5.0,2.0,482.0,4.0,54.0,1.0,1.0,493.0,83.0,54.0,8.0,1793563958.0,0.56,0.64,0.0,1947545011.0,1285242114.0,28.0,0.0,840.0,0.0,33.0,4.0,202.0,4.0,2690.106
0.0,0.0,3.0,1.0,384.0,8.0,60.0,0.0,0.0,351.0,107.0,104.0,10.0,2070246783.0,0.7,0.56,1.0,1479369082.0,1808399537.0,66.0,1.0,593.0,1.0,43.0,3.0,264.0,4.0,2729.443
0.0,0.0,5.0,2.0,518.0,8.0,62.0,0.0,0.0,352.0,39.0,65.0,8.0,1800226127.0,0.82,0.89,1.0,2003025007.0,1261197432.0,69.0,1.0,702.0,0.0,46.0,4.0,213.0,4.0,2588.598
1.0,748.0,6.0,3.0,561.0,8.0,55.0,1.0,1.0,317.0,86.0,78.0,8.0,1992829917.0,0.75,0.63,1.0,1609171472.0,1798543209.0,55.0,1.0,540.0,0.0,24.0,4.0,248.0,2.0,2548.174
0.0,0.0,5.0,2.0,408.0,7.0,49.0,1.0,1.0,212.0,33.0,39.0,5.0,1280662618.0,0.57,0.78,0.0,2027548219.0,1203156705.0,29.0,0.0,752.0,0.0,19.0,4.0,341.0,3.0,2599.245
0.0,0.0,6.0,3.0,508.0,8.0,37.0,1.0,1.0,351.0,72.0,51.0,7.0,1856168262.0,0.8,0.74,1.0,1308992624.0,1123276894.0,44.0,0.0,671.0,1.0,31.0,2.0,275.0,1.0,2556.527
1.0,703.0,4.0,2.0,384.0,8.0,64.0,0.0,1.0,240.0,111.0,72.0,10.0,1412430815.0,0.71,0.88,1.0,1411093677.0,1390625433.0,59.0,0.0,590.0,0.0,22.0,1.0,259.0,2.0,2580.751
1.0,869.0,4.0,2.0,384.0,6.0,53.0,0.0,0.0,387.0,42.0,84.0,10.0,1889162779.0,0.56,0.6,0.0,1132020259.0,1442200516.0,67.0,0.0,754.0,1.0,46.0,2.0,222.0,3.0,2615.678
1.0,647.0,5.0,2.0,496.0,6.0,42.0,1.0,0.0,483.0,85.0,88.0,9.0,1444115909.0,0.89,0.6,0.0,1384786739.0,1646399237.0,62.0,0.0,729.0,1.0,35.0,3.0,223.0,2.0,2628.045
0.0,0.0,4.0,2.0,384.0,4.0,61.0,0.0,1.0,438.0,61.0,52.0,4.0,1435138966.0,0.59,0.62,0.0,1107740538.0,1676414102.0,68.0,0.0,940.0,1.0,22.0,3.0,264.0,1.0,2736.695
1.0,798.0,3.0,1.0,384.0,5.0,58.0,0.0,0.0,405.0,103.0,64.0,5.0,1456691964.0,0.58,0.71,0.0,2038762321.0,1257424693.0,51.0,0.0,725.0,0.0,22.0,4.0,229.0,4.0,2838.926
1.0,822.0,6.0,3.0,438.0,4.0,36.0,0.0,1.0,310.0,74.0,32.0,9.0,1202098031.0,0.75,0.7,0.0,1501416958.0,1109681175.0,26.0,1.0,977.0,1.0,30.0,4.0,274.0,2.0,2684.515
1.0,947.0,5.0,2.0,392.0,5.0,36.0,0.0,1.0,442.0,86.0,67.0,7.0,1541543549.0,0.74,0.77,1.0,1461990808.0,1630160398.0,54.0,1.0,777.0,1.0,34.0,5.0,265.0,3.0,2697.344
1.0,957.0,3.0,1.0,384.0,4.0,50.0,0.0,0.0,472.0,41.0,92.0,4.0,1874999529.0,0.89,0.9,1.0,1950671416.0,1224412766.0,41.0,0.0,885.0,1.0,16.0,2.0,227.0,2.0,5285.806
1.0,930.0,5.0,2.0,431.0,8.0,36.0,0.0,0.0,385.0,36.0,122.0,5.0,2078398638.0,0.66,0.85,1.0,1202517522.0,1737463397.0,52.0,1.0,627.0,0.0,34.0,5.0,298.0,4.0,2604.406
0.0,0.0,7.0,3.0,518.0,7.0,39.0,1.0,0.0,347.0,114.0,46.0,8.0,1912903145.0,0.67,0.74,1.0,1731564044.0,1625058853.0,45.0,1.0,770.0,0.0,46.0,2.0,342.0,2.0,2582.613
1.0,745.0,5.0,2.0,384.0,5.0,41.0,0.0,0.0,402.0,45.0,111.0,6.0,1885078143.0,0.59,0.61,0.0,1076363370.0,1800851616.0,39.0,1.0,754.0,0.0,36.0,2.0,261.0,1.0,2728.96
1.0,726.0,6.0,3.0,545.0,6.0,52.0,0.0,0.0,244.0,99.0,59.0,10.0,1961495965.0,0.74,0.6,0.0,1232583720.0,1919595622.0,40.0,1.0,850.0,0.0,25.0,2.0,287.0,2.0,2553.706
0.0,0.0,5.0,2.0,384.0,7.0,62.0,1.0,1.0,245.0,45.0,48.0,9.0,1853939516.0,0.73,0.74,0.0,1552208561.0,1640924086.0,67.0,0.0,633.0,1.0,31.0,4.0,224.0,2.0,2631.923
1.0,727.0,5.0,2.0,384.0,5.0,44.0,0.0,0.0,241.0,41.0,64.0,6.0,1466171016.0,0.87,0.57,1.0,1633066959.0,1594914771.0,64.0,0.0,954.0,1.0,28.0,4.0,202.0,3.0,2656.907
0.0,0.0,3.0,1.0,384.0,4.0,37.0,1.0,0.0,217.0,63.0,61.0,6.0,1332791292.0,0.68,0.65,1.0,1426479529.0,1666793325.0,49.0,1.0,959.0,0.0,17.0,3.0,240.0,2.0,2830.337
