spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
2.0,9.0,14.0,61.0,1.0,1.0,317.0,81.0,120.0,10.0,1115669352.0,0.69,1.0,522.0,0.51,1.0,1904666956.0,1211614178.0,40.0,1.0,687.0,1.0,34.0,5.0,383.0,0.76,4.0,252.968
2.0,11.0,12.0,7.0,0.0,1.0,206.0,51.0,101.0,2.0,1400103595.0,0.87,1.0,808.0,0.54,0.0,1727914015.0,1785886366.0,57.0,1.0,950.0,1.0,46.0,5.0,341.0,0.77,9.0,255.593
3.0,12.0,12.0,42.0,0.0,0.0,448.0,45.0,67.0,3.0,2053847534.0,0.89,0.0,932.0,0.78,0.0,1525757583.0,1479707129.0,68.0,1.0,523.0,1.0,18.0,2.0,124.0,0.6,4.0,232.514
3.0,10.0,16.0,23.0,0.0,0.0,306.0,79.0,80.0,6.0,1539763812.0,0.79,1.0,837.0,0.73,1.0,1921959892.0,1774820650.0,43.0,1.0,977.0,1.0,30.0,4.0,186.0,0.72,8.0,229.916
3.0,16.0,12.0,7.0,1.0,0.0,252.0,45.0,45.0,5.0,1641542981.0,0.7,0.0,535.0,0.83,1.0,1741190980.0,1945728499.0,54.0,1.0,805.0,1.0,33.0,5.0,187.0,0.88,10.0,239.83
2.0,11.0,9.0,29.0,1.0,1.0,204.0,113.0,114.0,7.0,2058276201.0,0.62,1.0,766.0,0.83,0.0,1142704578.0,1866076978.0,71.0,1.0,534.0,1.0,36.0,5.0,415.0,0.57,10.0,459.758
2.0,16.0,16.0,47.0,0.0,1.0,356.0,34.0,96.0,6.0,2075034484.0,0.73,1.0,734.0,0.87,1.0,1860602479.0,1453621249.0,66.0,1.0,765.0,1.0,48.0,3.0,412.0,0.61,6.0,223.684
3.0,9.0,14.0,29.0,0.0,0.0,293.0,85.0,32.0,4.0,1635022658.0,0.87,1.0,820.0,0.87,1.0,1169123358.0,1731708236.0,46.0,1.0,891.0,0.0,48.0,2.0,414.0,0.54,5.0,302.776
3.0,14.0,16.0,5.0,1.0,1.0,208.0,55.0,100.0,10.0,1389152297.0,0.71,0.0,810.0,0.74,1.0,1818224751.0,1581231673.0,54.0,0.0,853.0,0.0,36.0,4.0,463.0,0.62,3.0,268.961
2.0,15.0,9.0,30.0,1.0,1.0,473.0,96.0,45.0,3.0,1888724856.0,0.53,1.0,611.0,0.68,1.0,1320885064.0,1856580711.0,63.0,0.0,873.0,0.0,45.0,1.0,424.0,0.5,5.0,409.216
