spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.inMemoryColumnarStorage.compressed,runtime
1.0,938.0,4.0,2.0,384.0,8.0,36.0,0.0,0.0,234.0,96.0,110.0,10.0,2110787822.0,0.67,0.59,1.0,1352063298.0,64.0,537.0,25.0,3.0,196.0,2.0,274.0,7418252.0,10970.0,1.0,834.0
0.0,0.0,3.0,1.0,384.0,7.0,59.0,1.0,1.0,252.0,102.0,71.0,5.0,1344059250.0,0.6,0.86,1.0,1894083217.0,60.0,799.0,21.0,2.0,216.0,2.0,315.0,7583562.0,10045.0,0.0,1182.0
0.0,0.0,3.0,1.0,384.0,7.0,38.0,1.0,1.0,281.0,78.0,122.0,8.0,2144780096.0,0.57,0.55,0.0,1236095781.0,40.0,821.0,16.0,1.0,196.0,4.0,331.0,12039847.0,9231.0,0.0,1153.0
0.0,0.0,7.0,3.0,789.0,4.0,34.0,0.0,0.0,500.0,43.0,97.0,9.0,1635412842.0,0.73,0.52,0.0,1507596846.0,66.0,741.0,41.0,1.0,186.0,1.0,378.0,6459176.0,10181.0,1.0,851.0
1.0,568.0,3.0,1.0,384.0,5.0,49.0,1.0,0.0,303.0,90.0,39.0,9.0,1516282397.0,0.54,0.73,1.0,1324188857.0,66.0,721.0,35.0,1.0,180.0,4.0,317.0,8332514.0,10018.0,1.0,1142.0
0.0,0.0,3.0,1.0,384.0,8.0,49.0,0.0,1.0,340.0,92.0,125.0,5.0,1699910923.0,0.67,0.51,1.0,1651270901.0,67.0,565.0,42.0,2.0,164.0,2.0,267.0,13355981.0,9453.0,0.0,1197.0
0.0,0.0,4.0,2.0,384.0,8.0,50.0,0.0,1.0,354.0,44.0,113.0,9.0,1609265954.0,0.68,0.67,1.0,1137285092.0,59.0,569.0,43.0,2.0,189.0,1.0,258.0,5756905.0,11782.0,0.0,799.0
1.0,811.0,4.0,2.0,384.0,5.0,62.0,1.0,0.0,436.0,44.0,122.0,6.0,1166049669.0,0.87,0.59,0.0,1448035129.0,63.0,580.0,43.0,2.0,248.0,4.0,298.0,10252084.0,10935.0,1.0,935.0
0.0,0.0,6.0,3.0,675.0,7.0,39.0,0.0,0.0,345.0,49.0,46.0,4.0,1208083525.0,0.79,0.9,0.0,1943078417.0,68.0,557.0,38.0,1.0,153.0,1.0,398.0,14927204.0,9389.0,1.0,860.0
1.0,656.0,4.0,2.0,384.0,4.0,62.0,1.0,1.0,399.0,118.0,34.0,8.0,1441926725.0,0.79,0.74,1.0,1504073836.0,58.0,522.0,18.0,3.0,202.0,2.0,364.0,5674351.0,11018.0,0.0,930.0
0.0,0.0,4.0,2.0,453.0,6.0,53.0,1.0,1.0,444.0,40.0,59.0,8.0,1998492084.0,0.56,0.79,1.0,1268610315.0,53.0,527.0,29.0,1.0,208.0,4.0,365.0,13029885.0,9232.0,0.0,991.0
0.0,0.0,7.0,3.0,801.0,4.0,39.0,0.0,0.0,208.0,81.0,94.0,4.0,1889497544.0,0.78,0.9,0.0,1592720884.0,54.0,811.0,39.0,2.0,209.0,2.0,317.0,13605967.0,9597.0,0.0,743.0
0.0,0.0,4.0,2.0,482.0,7.0,39.0,1.0,0.0,414.0,102.0,67.0,4.0,1766424968.0,0.67,0.76,0.0,1495738144.0,63.0,871.0,36.0,1.0,208.0,2.0,366.0,8507305.0,8362.0,0.0,945.0
