spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
2.0,4.0,5.0,55.0,1.0,1.0,437.0,81.0,107.0,7.0,1925958156.0,0.81,0.0,916.0,0.78,1.0,1251528705.0,1579679669.0,34.0,0.0,505.0,0.0,41.0,1.0,421.0,0.72,10.0,378.875
1.0,3.0,6.0,21.0,0.0,0.0,489.0,71.0,55.0,3.0,1986917540.0,0.79,0.0,754.0,0.81,1.0,1292088219.0,1617441363.0,60.0,0.0,1000.0,0.0,25.0,2.0,381.0,0.54,1.0,687.851
3.0,3.0,6.0,10.0,0.0,1.0,448.0,117.0,82.0,9.0,1103972727.0,0.79,1.0,675.0,0.68,1.0,2128935890.0,1632773003.0,61.0,1.0,593.0,0.0,37.0,5.0,191.0,0.67,4.0,286.615
4.0,2.0,5.0,44.0,1.0,1.0,271.0,99.0,47.0,10.0,1765061771.0,0.52,0.0,1007.0,0.69,1.0,2048362476.0,1652228117.0,25.0,0.0,503.0,0.0,37.0,5.0,433.0,0.72,2.0,403.195
4.0,2.0,7.0,51.0,1.0,0.0,290.0,125.0,52.0,5.0,1868336432.0,0.7,1.0,783.0,0.63,1.0,1296385732.0,1558713669.0,45.0,0.0,969.0,0.0,23.0,1.0,327.0,0.79,2.0,381.843
2.0,6.0,4.0,18.0,1.0,1.0,461.0,115.0,52.0,10.0,2114628071.0,0.84,1.0,915.0,0.85,1.0,1452340973.0,1413626817.0,25.0,1.0,809.0,1.0,29.0,3.0,293.0,0.72,1.0,310.533
1.0,5.0,4.0,23.0,1.0,1.0,303.0,68.0,108.0,2.0,1530160238.0,0.59,1.0,736.0,0.5,1.0,1099934996.0,1903885357.0,54.0,1.0,938.0,0.0,27.0,1.0,141.0,0.82,4.0,700.712
4.0,7.0,7.0,57.0,1.0,0.0,278.0,96.0,128.0,7.0,1428966335.0,0.81,0.0,532.0,0.66,1.0,1735861140.0,1394208827.0,49.0,0.0,567.0,0.0,29.0,3.0,161.0,0.79,1.0,167.436
1.0,3.0,7.0,4.0,0.0,0.0,330.0,65.0,84.0,9.0,2122454844.0,0.53,0.0,903.0,0.67,1.0,1491719827.0,1798896558.0,71.0,1.0,567.0,0.0,32.0,4.0,171.0,0.54,3.0,691.583
3.0,7.0,8.0,27.0,1.0,1.0,466.0,80.0,107.0,5.0,1482003278.0,0.62,0.0,898.0,0.57,1.0,1966047436.0,1713307342.0,67.0,1.0,660.0,1.0,31.0,2.0,389.0,0.82,5.0,235.943
3.0,6.0,5.0,51.0,1.0,0.0,467.0,33.0,124.0,9.0,1871638955.0,0.61,1.0,622.0,0.68,1.0,2146931091.0,1189749341.0,59.0,1.0,601.0,0.0,32.0,4.0,256.0,0.51,7.0,624.827
1.0,7.0,2.0,38.0,0.0,0.0,314.0,82.0,113.0,6.0,1531677661.0,0.79,0.0,704.0,0.89,1.0,1994937088.0,2081452083.0,57.0,0.0,944.0,0.0,46.0,3.0,442.0,0.52,10.0,357.764
2.0,8.0,2.0,21.0,1.0,1.0,374.0,118.0,59.0,5.0,1955907783.0,0.82,0.0,829.0,0.66,0.0,1751475579.0,1731221678.0,36.0,0.0,643.0,0.0,37.0,2.0,431.0,0.61,8.0,252.146
4.0,6.0,6.0,53.0,1.0,1.0,235.0,83.0,67.0,5.0,2120864581.0,0.82,1.0,959.0,0.51,1.0,1661289074.0,1612786598.0,25.0,1.0,792.0,0.0,17.0,5.0,286.0,0.88,9.0,204.587
