spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime,index
26.84434983,0.518754647,0.807934686,316.1816135,1.053175278,6.030403075,4.348436063,573.7309144,82.69750291,83.42148245,6.373635737,869730669.3,0.865264304,0.006904675,414.72,0.536297777,0.303350207,1398153403,1404135228,29.15246936,0.549942941,653.5058217,0.265033469,30.94906177,3.370593154,226.4816664,0.773979772,1.290525294,450.969,11
25.92,0.608716533,0.314915364,312.3865921,2.554538046,5.051316693,6.533100797,556.726038,80.94909467,81.49733539,4.276384436,869730669.3,0.819984754,0.893933171,414.72,0.656053396,0.635626725,1389956401,1405954567,56.42705187,0.115273356,654.3228894,0.811488316,31.23934307,2.591909031,227.7318521,0.605652878,2.84616294,254.975,12
25.92,0.224720253,0.004493068,326.6495102,3.438031965,7.057986082,3.246366784,563.3421514,83.69830653,75.6194134,8.83920203,869730669.3,0.519143946,0.566862174,414.72,0.662813971,0.800349892,1354386606,1407693097,36.35270749,0.989129805,655.9221998,0.194319723,27.16510269,3.543734057,229.5846774,0.874861967,1.745778841,233.452,13
25.92,0.198420118,0.534127658,284.9087911,2.886423639,4.442720772,5.228285595,572.9808984,79.80379091,71.11898103,8.717778011,869730669.3,0.694918626,0.38228872,414.72,0.799267194,0.105130855,1374950198,1399380748,69.47875202,0.32834782,648.3989239,0.42678948,30.24883197,1.501061038,229.1881405,0.687917485,2.627447611,261.291,14
25.92,0.986615898,0.702377495,323.5985539,2.1796845,7.47677101,6.19733739,569.3502971,48.12476728,63.40821228,6.442371453,980330659,0.610374417,0.641326302,414.72,0.870614967,0.571695093,1286389045,1389789860,48.99535407,0.645363912,652.14995,0.71757194,30.64295005,4.97871899,228.5605835,0.518372131,3.774216669,291.984,15
55.82797732,0.236313463,0.678303601,211.8804983,0.873411363,3.797100614,6.333741938,380.6455122,68.76180123,27.16687163,4.221591352,869730669.3,0.569883983,0.026497602,506.3734557,0.706643423,0.764535368,1343382582,1273577277,31.65389873,0.258330079,520.7891409,0.809768034,13.71357678,4.545586855,169.1946457,0.518154361,3.719805995,668.166,16
33.27897984,0.502691297,0.317047263,162,0.81,4.200746965,4.980163332,508.4253356,52.38162475,59.99701601,6.339275566,1275859693,0.627993615,0.824939944,594.626594,0.762487988,0.848448399,1099504089,882113565.2,22.65393551,0.119347372,599.1735049,0.375850466,26.92650591,2.91696227,199.2993024,0.588272051,1.581598554,635.178,17
60.53027609,0.966412494,0.509682663,303.98722,1.085526142,3.450176814,3.42833977,482.609925,36.62378398,39.94560408,4.936786101,1340139820,0.696576028,0.247096291,442.0589363,0.633544209,0.124693742,1266468008,869730876.6,20.15429969,0.679402817,646.8209027,0.751629148,29.24682038,3.551819702,139.9331613,0.856733086,2.545585279,776.222,18
46.28481047,0.038748762,0.048010898,182.2797285,2.218668094,3.24,6.187776831,553.9163021,77.28813816,33.67196559,3.72105955,897368995.2,0.74524734,0.786672584,414.72,0.885647147,0.33407074,1173867379,915339475.4,37.13564935,0.48966228,437.7743936,0.584289416,24.45251891,1.758291282,203.1026704,0.786170809,1.846576673,515.804,19
40.48129642,0.757019934,0.810640094,235.7638824,1.421030506,3.24,4.183314218,527.2057962,26.27963451,25.92,3.346512866,1026173950,0.855105338,0.489555429,414.72,0.510694297,0.460150713,1380741533,1022151600,19.44,0.810619221,529.1260771,0.122965538,20.02650377,2.293441023,223.7556403,0.708632764,3.242805471,770.974,20
