spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime,index
37.92022956,0.168128666,0.887748934,419.5990771,2.593880953,6.968643911,3.531527069,870.3026283,94.10786531,75.72500473,9.840417021,1634103565,0.872089696,0.900271976,838.7882345,0.650855561,0.827353133,1675146508,1471227219,40.49165317,0.798008813,612.9309958,0.563260435,42.81428101,2.643887324,226.9859156,0.677995277,2.519265477,286.052,11
42.75091367,0.603687667,0.021819716,241.3069419,2.359460059,4.736062337,5.587804166,688.8696304,95.58695778,50.79182935,8.667745545,1965841974,0.842539745,0.753550952,632.1882495,0.756275556,0.032815101,1889910839,1272819015,36.51272044,0.445326162,638.4360445,0.721439406,21.58979585,3.417760007,178.2912327,0.622768415,1.128217227,343.702,12
61.25589469,0.014849845,0.36225611,262.7727532,1.804458352,6.305592126,3.169487585,492.9975691,60.48520867,103.9508611,5.521891313,1735809615,0.765228741,0.665139454,1009.629339,0.666655204,0.712354217,1493244114,1194458985,41.27461918,0.080565877,797.2432106,0.485110369,24.42955718,3.931135432,243.5804846,0.515376388,1.401798221,271.23,13
60.7498861,0.407732237,0.452552338,489.9868201,2.215584479,5.385603285,3.245195768,755.0213041,51.74227712,113.4964065,8.202758672,1927303493,0.891634948,0.705359155,763.1336772,0.544978177,0.645369845,1625062850,1534054824,71.57561932,0.016557265,559.2422302,0.221698365,31.06226705,2.952723509,329.397879,0.564857033,1.626847902,327.382,14
52.35969881,0.480833616,0.77398827,328.7516042,3.794630696,5.136181098,4.821878258,631.0693433,115.532757,85.87784756,6.187339304,1715634756,0.723921264,0.582125357,667.1501325,0.637120256,0.36097165,1565379325,1696320770,69.39303814,0.51366723,589.511999,0.32785845,28.77627653,3.752232587,292.7343487,0.790020613,3.019263236,184.899,15
63.39274442,0.26738909,0.144293618,314.8205382,2.800943699,5.835152464,4.126554128,661.3946454,46.03500932,51.90927989,9.327276891,1573717266,0.63625814,0.519223266,567.9800422,0.808444942,0.407242775,1831085314,1102267586,33.10876918,0.38912785,669.4001003,0.883446104,39.66180314,4.819287499,341.2633238,0.656344724,3.139368612,393.905,16
35.02274232,0.909372792,0.988788385,246.9879058,1.279026232,5.761323902,6.252991189,825.3984827,104.5717412,96.159304,4.337483996,2075231531,0.813788243,0.981596695,601.2828552,0.516279675,0.86489651,2045619710,1325231029,53.18245696,0.236322136,945.6584144,0.121071993,18.78144385,3.103508737,195.487339,0.543046901,2.495960683,471.738,17
36.37581376,0.098910708,0.50922799,478.65889,1.428131856,7.191010667,4.779537772,783.5898301,68.01411106,42.84657805,8.925668912,1108395845,0.67078732,0.236226965,984.8312299,0.602435002,0.769219674,2103187264,2071744091,51.03789927,0.628303556,703.0658954,0.641590896,47.99208361,1.034392708,152.5180768,0.683812795,1.822181532,425.428,18
46.61708145,0.840317427,0.24883188,392.1700045,1.498669568,7.328751501,3.866097807,832.7256617,125.737223,94.22463736,6.576034453,1529269482,0.609435761,0.49720944,892.7638837,0.825406498,0.230777469,1818483215,2130526731,50.37998724,0.861080442,805.1289445,0.975779847,32.36187705,2.374797868,313.5506339,0.827614253,3.488568778,421.895,19
32.11322198,0.207544231,0.342455525,432.6503282,1.741250828,7.422167218,6.145260619,706.7364659,122.1647338,58.09287794,7.660847831,1328511233,0.554018081,0.111148016,527.3724681,0.890495294,0.91982743,1740032273,1851694823,47.10760255,0.672400791,873.7815352,0.694076347,16.66889048,1.469560102,169.8887876,0.59232964,2.321028863,272.506,20
