,runtime,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
49,179.431,49.07510999,0.058931955,0.423167414,347.7731129,2.941063543,6.642971155,6.889286107,820.9468352,96.09100008,93.45617845,6.214068218,1896311719,0.59545092,0.998293099,696.9337422,0.611591297,0.669701984,1493964595,1398502150,64.46909641,0.211012471,656.1662526,0.303742819,30.31833604,4.801759183,169.3384074,3.863699133
50,213.607,38.77481228,0.259177176,0.310056084,330.4149207,2.989267733,7.440344203,6.086988075,793.0784886,127.033488,83.14709618,6.052556381,1709283944,0.600347455,0.701874479,645.1317373,0.65566099,0.938329457,1300358582,1375310238,57.46836063,0.005648627,734.7010691,0.178804887,23.15410136,4.263789174,195.963889,3.648948829
51,177.166,45.95976145,0.018422152,0.074685938,373.929961,3.113302286,7.826053001,6.309346374,765.7828259,103.4678298,114.8174932,6.25321176,1775748546,0.601152448,0.773618979,681.1060388,0.768681949,0.949835002,1170956745,1378918377,66.9858286,0.028193836,707.9883049,0.053863322,25.00902088,4.10759104,191.4449359,3.946476069
52,150.806,52.09034303,0.023786016,0.085011598,385.1311634,3.572648572,6.827109401,5.925184922,776.4174293,116.1877216,86.23681549,6.304303933,2028166063,0.571935987,0.790541476,841.8568423,0.787075486,0.958717411,1218996732,1478001299,55.92445498,0.112176422,664.6436787,0.260818818,34.86778061,4.571699503,180.0194159,3.439529483
53,173.252,48.13155844,0.144253734,0.138394832,359.7133238,3.756042331,6.330221169,5.393508442,840.2839198,114.2396603,69.86756535,7.222495609,1892497289,0.5820934,0.676904337,836.1225286,0.826913582,0.934003583,1250965793,1465346386,50.69444529,0.270422261,751.367241,0.361973695,40.28878898,4.124871487,203.7170586,3.233653239
54,200.544,54.65286898,0.064739911,0.08395056,371.6300593,3.289307354,7.343062425,6.389748044,840.6757285,106.7287987,78.57319516,5.810907378,2049857333,0.558419915,0.840436079,803.7585338,0.768921163,0.826835931,1156535577,1545419486,51.00318396,0.177958063,696.3582192,0.357293893,38.16888584,4.369605039,191.4805314,3.652654498
55,176.622,56.22201057,0.016760022,0.116646685,376.5893814,3.64532675,7.024668051,5.754790298,722.114008,121.3234004,81.66909163,6.22440535,2078135230,0.542347388,0.809405773,853.5486666,0.755411186,0.959231699,1128024013,1614780048,57.10362579,0.213103517,674.9639205,0.34629974,37.05062521,4.04527868,191.211449,3.421361474
56,202.971,55.06663718,0.111912976,0.025214368,390.484938,3.28744412,6.37636284,5.658284057,731.4491019,107.2033421,89.06905286,6.053055327,2038450834,0.553593772,0.885638127,877.9253871,0.802670886,0.864522314,1277868281,1565792529,50.00771246,0.07445464,722.9017666,0.318420544,33.16563567,4.483136814,157.64008,3.744921074
57,209.476,49.03442148,0.00314148,0.187130367,392.4252226,3.430278647,6.49936061,6.220184009,821.4164867,112.1063321,86.62191502,6.71937226,2014091350,0.558319913,0.848042167,837.0074021,0.75613059,0.874248798,1335761118,1358121030,51.65643789,0.043738968,687.8829949,0.297565831,33.74630483,4.423935678,178.5607207,3.549033609
58,180.444,54.50988367,0.012030768,0.178648838,358.9079104,3.438920622,6.657959945,6.264787794,790.9980598,108.361623,94.72163266,6.486390547,2104847487,0.573442769,0.786517737,862.5810157,0.791380006,0.972479457,1217118651,1448340087,52.78523197,0.027189349,646.4378558,0.226390654,31.78200366,4.24454658,196.1981849,3.181679092
59,173.242,54.81529642,0.071453225,0.043873693,409.0386227,3.39702842,7.002310311,5.89591855,761.0965252,119.0180071,84.83953045,6.458330452,2000896005,0.602013987,0.87504167,867.8689161,0.815021151,0.895856595,1249095765,1431742919,60.23245369,0.185085146,695.521965,0.330525856,36.99543266,4.508978349,179.7964334,3.165930151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,最优配置,index,44+15个配置总耗时,,15个配置总耗时,,,,算法开始时间,算法结束时间,h,min,s,,,,,,,,,,,,,,,
,150.806,52,14238.868,s,3325.267,s,,,20:04:42,21:02:14,0,57,32,,,,,,,,,,,,,,,
,,,237.3144667,min,55.42111667,min,,,,,,,,,,,,,,,,,,,,,,
,,,3.955241111,h,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
