spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime,interations
31.05495725,0.457404916,0.137662741,203.2666201,6.274834781,9.919717028,13.9063007,685.9411241,64.51597045,82.29402902,7.794023114,1571804951,0.549929017,0.312501378,770.3138149,0.769539603,0.770149956,1213688802,1098346758,48.91595147,0.809988711,506.3018835,0.672469845,37.97786325,2.796987014,465.9154747,0.757744434,1.047158539,276.147,17
5.574598049,0.631646627,0.707316603,384.0766084,5.944938268,9.019644285,8.896680794,1088.933985,116.0319417,49.65953039,5.165552068,1534304044,0.698915674,0.16151077,687.3296083,0.604752162,0.844526943,1933092028,1531842131,53.13674212,0.14546561,754.8066471,0.296947086,43.50883051,3.686393524,353.389605,0.54990052,5.235290915,886.053,18
46.72080734,0.440347087,0.126735709,376.9470944,4.108204944,9.201092698,12.72980714,400.584658,61.12118448,34.05209226,9.977364935,1698691346,0.617350511,0.928949462,771.6451449,0.681876891,0.587871506,1357357459,1401542638,41.83941968,0.244447999,792.2736331,0.695846134,18.30231105,4.884333279,401.2282623,0.822465265,7.764763637,274.686,19
34.46042889,0.951935168,0.887996494,355.4097685,5.118246406,12.26212747,10.73386055,1213.746879,127.0789949,106.29596,4.008487645,1169302656,0.573962236,0.526851876,725.5564381,0.820263863,0.933202338,1264722642,1997231486,69.95495646,0.959470607,518.9312939,0.057583506,16.18551657,2.250724625,122.2793651,0.617544994,4.204148374,601.368,20
8.526276653,0.172727463,0.12643089,433.490267,4.118234537,9.449350504,13.27439841,1718.694358,90.12051274,125.7188734,1.391063875,2092263579,0.624518433,0.79897284,927.042101,0.843999437,0.458550811,2073013630,1350652306,68.85338364,0.619119633,992.7224575,0.032643866,39.20533308,3.262216942,296.969619,0.60368725,3.941476164,281.615,21
39.44475995,0.319297737,0.681204184,215.5897066,4.403639263,8.781453005,11.93120772,624.3809833,64.75009503,36.25391896,3.103609241,2109069305,0.703655761,0.151074518,779.7803682,0.877403754,0.865686014,1494719344,1378542247,60.56303341,0.240484325,627.1161773,0.084086354,43.65261103,2.791595662,324.7145042,0.794684383,8.168399804,281.615,22
24.85176593,0.292726562,0.413690736,264.4147087,4.956958019,8.731518883,13.77810944,1074.960706,120.6176655,103.6313735,5.119347589,1884010818,0.751209231,0.303758434,779.0895685,0.784924878,0.305313531,1087188117,1361786842,62.24378283,0.929993089,812.6655775,0.132807485,40.2422515,3.107621384,401.5476286,0.843444681,9.52787396,296.794,23
9.920085462,0.145928918,0.072264757,362.7620699,6.647458519,11.1907514,12.69029171,642.3701419,114.858681,49.99277799,1.492877135,1526313985,0.722041772,0.97074201,558.9779627,0.609567237,0.105107069,1492973191,1384065111,48.63841677,0.348256682,964.1140091,0.789947796,43.5523638,1.518003784,330.0280668,0.585913014,8.814147143,271.984,24
13.42393816,0.236808534,0.018362637,479.4216402,6.66136353,11.57279701,8.656205933,621.9269688,87.38819561,56.15906946,3.701546499,1257337791,0.575836688,0.463421154,773.055474,0.704631956,0.997138799,1212894272,1885673058,62.10032387,0.584882599,731.3690901,0.893426637,42.50176701,1.201163744,485.1935012,0.502935957,6.158189842,403.544,25
45.94338387,0.437941925,0.793804507,355.2538076,5.240794483,8.704651617,13.3034664,761.838297,91.16102944,126.5196588,2.704762198,2110104035,0.761086147,0.128731605,907.2266988,0.880710311,0.56278055,1813072339,1102032643,71.4756329,0.31845712,511.9518897,0.80856415,47.14408166,3.95035404,101.0943224,0.525344205,6.258424647,277.317,26
