spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
30.2884984,0.094749636,0.80568883,367.403493,6.165281845,8.23341368,9.278373625,1588.891201,83.86810547,34.92161831,9.580414215,1252299580,0.681983999,0.69279601,931.6366129,0.744478934,0.391765401,2056202933,1406414940,33.38006423,0.817770191,546.0296232,0.80893931,36.18561438,3.956299422,368.1441367,0.617025016,9.812269499,1478.647
58.91495251,0.882378416,0.537115251,238.544138,4.853160463,10.58102708,12.02362588,1294.040647,123.0999213,95.7856289,8.04164446,2007868272,0.87750371,0.493206761,750.1196552,0.797226698,0.21458266,1948317836,1282209327,42.93960819,0.545348707,595.7215071,0.25325817,17.16528985,3.805648771,360.5520409,0.72836815,6.812907594,297.408
11.51181318,0.396741062,0.409442863,205.6885424,4.767871232,9.713666048,10.9543044,968.2983355,98.15103019,78.45178357,4.405217458,1178287719,0.562723694,0.797707782,972.0271812,0.525453669,0.533879336,2135375253,1296726135,50.65667717,0.669561609,990.3299288,0.938969821,34.50672393,3.598981113,314.2014463,0.56002996,6.003510321,258.43
5.350294007,0.009058652,0.076006436,257.2612103,6.556595868,10.94527363,8.302491566,1470.836051,120.9535168,50.80765279,9.24703213,1583062273,0.836447097,0.009729115,673.0344487,0.849759019,0.663460178,1351053844,1449820448,67.17003015,0.990170795,835.4254061,0.753568266,23.31913617,3.033411209,479.9946982,0.740591456,8.200637787,999.308
31.4217316,0.779648847,0.976213695,285.5473427,5.00313933,9.292155438,10.48988626,1751.208564,103.1919285,121.4184301,3.845306471,1566276537,0.734046538,0.814751356,752.5381593,0.680331784,0.866560757,1076643549,2044489329,57.99141357,0.416016451,946.6268165,0.573111981,43.10311993,2.030076888,140.506214,0.524595559,3.575190267,342.828
12.61101736,0.369004567,0.421498439,214.4105406,4.919840335,9.956001475,11.08821577,1020.957221,96.07079894,80.8391312,4.353362774,1158000778,0.557507599,0.785235548,960.5143263,0.533937797,0.525991397,2145481435,1321863176,49.13604016,0.659548539,971.7041124,0.972957536,36.19119938,3.821195042,321.9007289,0.551987559,5.752170943,275.044
11.26949281,0.391782215,0.36416802,200.1944837,4.866458784,9.559721056,11.2490576,931.9205939,96.44804213,78.75240953,4.647361517,1172690527,0.542976058,0.77634496,972.2835973,0.534809605,0.561374082,2086611871,1236021988,50.74331602,0.707673248,960.7520512,0.958608643,35.25200751,3.573846849,331.8650469,0.564577159,5.551562053,467.106
8.436734178,0.410534531,0.432757065,210.2124201,4.818822529,9.459677726,10.76232012,969.9571891,101.717658,74.87335474,4.373445276,1168382366,0.562595277,0.762998318,963.9813059,0.514222148,0.565437412,2134663788,1288325163,51.0939681,0.630332122,981.9826782,0.915086897,35.79808973,3.675462904,319.3169872,0.549392069,5.979329957,275.226
12.89641676,0.391115863,0.371664302,209.1707161,4.624430238,9.506020876,11.09640656,916.9105536,96.46917975,73.57449631,4.788027693,1188577663,0.55391435,0.8372947,972.3543836,0.523530318,0.541123327,2104070565,1276658334,50.18467191,0.644112296,985.860502,0.959701562,33.12345095,3.787947734,322.9307407,0.567841412,6.189701627,285.095
11.6444514,0.435096322,0.444785527,207.5437274,4.732461418,9.844782981,10.93462759,978.2716072,101.9257292,80.96392528,4.290446922,1131886795,0.550633128,0.799938079,968.5982721,0.53694059,0.566020614,2102835604,1330125122,52.17058803,0.710742621,969.5988025,0.896820111,33.06938855,3.53135548,300.4084783,0.555296503,5.907628936,276.41
