,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
11,211.907,56.0,1.0,0.0,344.0,2.0,8.0,5.0,442.0,74.0,66.0,5.0,1632619648.0,0.64,0.0,0.0,0.62,0.0,1863329920.0,1655123456.0,54.0,0.0,775.0,0.0,24.0,4.0,226.0,2.0
12,215.583,55.0,1.0,0.0,341.0,2.0,8.0,5.0,455.0,76.0,62.0,6.0,1609564288.0,0.63,0.0,0.0,0.63,0.0,1749739008.0,1681549056.0,53.0,0.0,747.0,0.0,24.0,4.0,223.0,2.0
13,458.204,64.0,1.0,1.0,441.0,1.0,5.0,3.0,384.0,32.0,93.0,5.0,1259224103.0,0.85,0.0,0.0,0.54,1.0,2104019338.0,1333797757.0,32.0,0.0,760.0,0.0,37.0,1.0,299.0,4.0
14,355.582,38.0,0.0,0.0,431.0,1.0,7.0,3.0,384.0,59.0,47.0,8.0,1535308076.0,0.54,0.0,0.0,0.76,0.0,1925973984.0,1458157745.0,64.0,1.0,904.0,1.0,36.0,5.0,207.0,2.0
15,238.41,34.0,0.0,0.0,267.0,2.0,7.0,5.0,545.0,95.0,100.0,4.0,1707870218.0,0.6,0.0,0.0,0.89,1.0,1515335152.0,1827440905.0,65.0,0.0,923.0,0.0,34.0,1.0,268.0,3.0
16,202.15,54.0,1.0,0.0,335.0,2.0,8.0,5.0,449.0,74.0,66.0,5.0,1621138176.0,0.65,0.0,0.0,0.63,0.0,1818634752.0,1646180096.0,52.0,1.0,772.0,0.0,24.0,4.0,232.0,2.0
17,213.448,55.0,1.0,0.0,348.0,2.0,8.0,5.0,459.0,75.0,70.0,5.0,1637781632.0,0.67,0.0,0.0,0.63,0.0,1823545344.0,1632220160.0,54.0,1.0,784.0,0.0,26.0,4.0,229.0,2.0
18,218.702,53.0,1.0,0.0,333.0,2.0,8.0,5.0,480.0,74.0,66.0,6.0,1632354048.0,0.66,0.0,0.0,0.62,0.0,1838151808.0,1617476736.0,52.0,1.0,759.0,0.0,27.0,4.0,234.0,2.0
19,249.5,40.0,1.0,0.0,437.0,3.0,4.0,6.0,692.0,71.0,61.0,5.0,1443441567.0,0.57,0.0,0.0,0.56,0.0,1576144181.0,1487481044.0,64.0,0.0,590.0,1.0,47.0,1.0,279.0,3.0
20,210.039,36.0,1.0,0.0,425.0,3.0,6.0,7.0,802.0,74.0,80.0,8.0,1591485161.0,0.51,0.0,0.0,0.89,0.0,2046936630.0,1231044633.0,66.0,1.0,532.0,1.0,45.0,5.0,276.0,2.0
21,382.999,36.0,0.0,0.0,444.0,1.0,6.0,3.0,384.0,84.0,126.0,7.0,1635501462.0,0.78,1.0,642.0,0.8,0.0,1384740837.0,1833352131.0,42.0,0.0,681.0,1.0,48.0,5.0,169.0,4.0
22,212.629,54.0,1.0,0.0,330.0,2.0,8.0,5.0,452.0,74.0,65.0,5.0,1662169344.0,0.66,0.0,0.0,0.62,0.0,1815694336.0,1650458112.0,52.0,0.0,772.0,0.0,25.0,4.0,231.0,2.0
23,216.353,51.0,1.0,0.0,333.0,2.0,8.0,5.0,484.0,73.0,66.0,5.0,1629491712.0,0.68,0.0,0.0,0.64,0.0,1783043840.0,1632583680.0,53.0,0.0,783.0,0.0,25.0,4.0,232.0,2.0
24,214.035,52.0,1.0,0.0,336.0,2.0,8.0,5.0,475.0,74.0,65.0,6.0,1582286976.0,0.66,0.0,0.0,0.64,0.0,1789089920.0,1629108480.0,52.0,0.0,790.0,0.0,26.0,4.0,240.0,2.0
25,515.218,57.0,1.0,0.0,357.0,1.0,4.0,3.0,384.0,122.0,33.0,5.0,1672891559.0,0.65,1.0,616.0,0.6,0.0,2124065958.0,1911636299.0,63.0,0.0,776.0,0.0,29.0,1.0,274.0,2.0
26,299.594,45.0,1.0,1.0,355.0,2.0,5.0,4.0,384.0,109.0,50.0,8.0,1954837750.0,0.6,0.0,0.0,0.56,0.0,1898122589.0,2143729355.0,51.0,1.0,591.0,0.0,39.0,2.0,350.0,4.0
27,332.861,61.0,1.0,1.0,494.0,2.0,4.0,5.0,527.0,106.0,66.0,9.0,1620002981.0,0.71,1.0,689.0,0.76,0.0,1697167256.0,1682233105.0,58.0,1.0,976.0,1.0,45.0,1.0,264.0,2.0
28,232.895,37.0,1.0,0.0,422.0,3.0,6.0,7.0,807.0,73.0,80.0,8.0,1575215232.0,0.52,0.0,0.0,0.9,0.0,2053092864.0,1252634112.0,65.0,0.0,539.0,1.0,44.0,5.0,267.0,2.0
29,224.474,37.0,1.0,0.0,423.0,3.0,6.0,7.0,808.0,73.0,80.0,7.0,1600974080.0,0.53,0.0,0.0,0.89,0.0,2034087808.0,1248408832.0,64.0,0.0,539.0,1.0,44.0,5.0,271.0,2.0
